PassengerId,Survived,Pclass,Name,Sex,Age,SibSp,Parch,Fare,Embarked
1,0,3,"Braund, Mr. Owen Harris",0,0.2711736617240512,0.125,0.0,0.014151057562208049,1
2,1,1,"Cumings, Mrs. John Bradley (Florence Briggs Thayer)",1,0.4722292033174164,0.125,0.0,0.13913573538264068,2
3,1,3,"Heikkinen, Miss. Laina",1,0.32143754712239253,0.0,0.0,0.015468569817999833,1
4,1,1,"Futrelle, Mrs. Jacques Heath (Lily May Peel)",1,0.4345312892686604,0.125,0.0,0.10364429745562033,1
5,0,3,"Allen, Mr. William Henry",0,0.4345312892686604,0.0,0.0,0.015712553569072387,1
6,0,3,"Moran, Mr. James",0,0.34656948982156316,0.0,0.0,0.01650950209357577,3
7,0,1,"McCarthy, Mr. Timothy J",0,0.6732847449107816,0.0,0.0,0.10122885832000206,1
8,0,3,"Palsson, Master. Gosta Leonard",0,0.01985423473234481,0.375,0.16666666666666666,0.04113566043083236,1
9,1,3,"Johnson, Mrs. Oscar W (Elisabeth Vilhelmina Berg)",1,0.33400351847197784,0.0,0.3333333333333333,0.021730754366528396,1
10,1,2,"Nasser, Mrs. Nicholas (Adele Achem)",1,0.17064589092736868,0.125,0.0,0.058694292654020104,2
11,1,3,"Sandstrom, Miss. Marguerite Rut",1,0.04498617743151546,0.125,0.16666666666666666,0.03259622914329302,1
12,1,1,"Bonnell, Miss. Elizabeth",1,0.723548630309123,0.0,0.0,0.051822148727810165,1
13,0,3,"Saundercock, Mr. William Henry",0,0.24604171902488062,0.0,0.0,0.015712553569072387,1
14,0,3,"Andersson, Mr. Anders Johan",0,0.4847951746670017,0.125,0.8333333333333333,0.06104473451835265,1
15,0,3,"Vestrom, Miss. Hulda Amanda Adolfina",1,0.17064589092736868,0.0,0.0,0.015330377421392339,1
16,1,2,"Hewlett, Mrs. (Mary D Kingcome) ",1,0.685850716260367,0.0,0.0,0.03122992013728673,1
17,0,3,"Rice, Master. Eugene",0,0.01985423473234481,0.5,0.16666666666666666,0.05684821399990475,3
18,1,2,"Williams, Mr. Charles Eugene",0,0.34656948982156316,0.0,0.0,0.025374310111545468,1
19,0,3,"Vander Planke, Mrs. Julius (Emelia Maria Vandemoortele)",1,0.38426740387031916,0.125,0.0,0.03513366015444757,1
20,1,3,"Masselmani, Mrs. Fatima",1,0.34656948982156316,0.0,0.0,0.014102260811993537,2
21,0,2,"Fynney, Mr. Joseph J",0,0.4345312892686604,0.0,0.0,0.050748620223090936,1
22,1,2,"Beesley, Mr. Lawrence",0,0.4219653179190751,0.0,0.0,0.025374310111545468,1
23,1,3,"McGowan, Miss. Anna ""Annie""",1,0.18321186227695402,0.0,0.0,0.015671954672893913,3
24,1,1,"Sloper, Mr. William Thompson",0,0.34656948982156316,0.0,0.0,0.06929138530460494,1
25,0,3,"Palsson, Miss. Torborg Danira",1,0.09525006282985675,0.375,0.16666666666666666,0.04113566043083236,1
26,1,3,"Asplund, Mrs. Carl Oscar (Selma Augusta Emilia Johansson)",1,0.4722292033174164,0.125,0.8333333333333333,0.06126431989431795,1
27,0,3,"Emir, Mr. Farred Chehab",0,0.34656948982156316,0.0,0.0,0.014102260811993537,2
28,0,1,"Fortune, Mr. Charles Alexander",0,0.2334757476752953,0.375,0.3333333333333333,0.5133418122566507,1
29,1,3,"O'Dwyer, Miss. Ellen ""Nellie""",1,0.34656948982156316,0.0,0.0,0.01537917417160685,3
30,0,3,"Todoroff, Mr. Lalio",0,0.34656948982156316,0.0,0.0,0.015411575213749286,1
31,0,1,"Uruchurtu, Don. Manuel E",0,0.49736114601658704,0.0,0.0,0.05410739813385612,2
